lon,lat,pop
129.04283,35.60347,0
129.23508,35.56029,439
129.17899,35.51601,0
129.26609,35.46518,0
129.32984,35.36055,49
129.15759,35.54786,0
129.1719,35.70543,6
129.21998,35.62812,95
129.21989,35.62362,0
129.23557,35.58282,7
129.10977,35.63866,8
129.17743,35.70535,0
129.20484,35.43451,0
129.12929,35.51218,6
129.14188,35.58864,47
129.28594,35.36572,0
129.10344,35.59818,0
129.19971,35.45261,73
129.27642,35.43347,28
129.20598,35.48858,7
129.01999,35.5632,7
129.10707,35.50347,0
129.24889,35.43388,23
129.26196,35.52835,45
129.13765,35.65181,27
129.19011,35.52036,11
129.29393,35.47829,0
129.34156,35.39193,82
129.278,35.50557,0
129.27517,35.62732,0
129.11538,35.64309,0
129.2654,35.43364,19
129.23229,35.68654,32
129.22608,35.65508,143
129.08502,35.50376,7
129.08075,35.56692,15
129.27533,35.38391,45
129.18432,35.50692,13
129.25162,35.56005,56
129.18867,35.71421,0
129.08876,35.69303,33
129.10788,35.54402,463
129.33575,35.3785,0
129.1162,35.68365,6
129.32546,35.41021,41
129.2319,35.66852,61
129.086,35.55333,74
129.17423,35.55214,13
129.17759,35.44841,0
129.13112,35.60231,30
129.29123,35.60455,0
129.21523,35.66425,12
129.19315,35.66456,17
129.23596,35.60085,52
129.24089,35.57373,6381
129.33025,35.37858,6
129.27259,35.51016,0
129.13627,35.58421,17
129.09712,35.55769,8
129.16639,35.43955,0
129.26265,35.55989,80
129.30784,35.36089,6
129.33219,35.46419,10
129.2345,35.53325,0
129.24552,35.53309,9
129.18554,35.5655,30
129.28653,35.39276,0
129.29924,35.4692,0
129.11584,35.66563,0
129.07453,35.53094,0
129.22434,35.57397,43
129.31854,35.3472,105
129.23566,35.58733,0
129.26039,35.45625,0
129.23112,35.63247,0
129.21581,35.69129,13
129.0827,35.66607,0
129.22773,35.47475,0
129.19134,35.57894,0
129.13408,35.47606,0
129.02482,35.52707,0
129.33046,35.38759,23
129.27721,35.46952,14
129.13995,35.49401,39
129.08609,35.55784,76
129.34665,35.37382,14
129.00837,35.53179,39
129.28581,35.60913,22
129.07612,35.61206,109
129.16029,35.67854,6
129.2317,35.65951,30
129.07718,35.66614,20
129.24367,35.44748,0
129.26186,35.52384,98
129.33647,35.41004,0
129.204,35.65539,71
129.31577,35.46895,57
129.15496,35.68763,0
129.15713,35.52533,12
129.23401,35.51072,32
129.16048,35.68756,45
129.2532,35.63215,0
129.15593,35.46674,0
129.22145,35.43878,25
129.28584,35.36121,0
129.34074,35.35588,212
129.25241,35.5961,20
129.1267,35.65646,13
129.09792,35.59825,69
129.22763,35.47024,0
129.08662,35.58488,50
129.29383,35.47379,6
129.23674,35.6369,12
129.30415,35.44208,1699
129.22027,35.64164,33
129.14832,35.63363,28
129.13655,35.59773,12
129.01448,35.56326,6
129.26137,35.50131,0
129.16001,35.66502,0
129.10779,35.53952,967
129.20409,35.6599,51
129.15908,35.61996,35
129.18097,35.61064,38
129.21058,35.70488,0
129.16218,35.50272,6
129.15936,35.63348,34
129.31334,35.3608,12
129.27602,35.41545,1446
129.27052,35.41553,21
129.08627,35.56685,20
129.10851,35.57557,43
129.18469,35.52494,7
129.26946,35.61839,147
129.15227,35.55695,0
129.25251,35.60061,0
129.16423,35.60186,0
129.29644,35.34302,38
129.1086,35.58008,19
129.28663,35.39726,44
129.06455,35.58516,0
129.19201,35.61049,0
129.28083,35.38383,8
129.26748,35.52827,0
129.15393,35.63806,92
129.01371,35.5227,13
129.2599,35.43372,0
129.19411,35.44818,105
129.12442,35.5438,50
129.24947,35.46091,0
129.16676,35.45758,69
129.24621,35.56464,170
129.13323,35.70596,0
129.3325,35.47771,0
129.14004,35.49851,14
129.19962,35.70955,31
129.28703,35.41529,139
129.25498,35.46083,0
129.22105,35.67769,0
129.28341,35.50099,26
129.17003,35.6153,0
129.02008,35.5677,13
129.31905,35.36973,45
129.17217,35.453,31
129.09214,35.5848,13
129.22706,35.44321,0
129.00862,35.54531,0
129.17796,35.46644,29
129.25153,35.55555,2982
129.24406,35.4655,0
129.19191,35.60598,16
129.10335,35.59367,48
129.13554,35.54816,0
129.12725,35.6835,0
129.28601,35.61815,11
